Species,LEVEL1
Sagittaria cuneata,6
Sagittaria cuneata,3
Sagittaria cuneata,5
Sagittaria cuneata,2
Salix bebbiana,6
Salix bebbiana,3
Salix bebbiana,7
Salix bebbiana,10
Salix bebbiana,5
Salix bebbiana,2
Salix discolor,6
Salix discolor,10
Salix discolor,3
Salix discolor,5
Salix hookeriana,7
Salix hookeriana,6
Salix hookeriana,10
Salix scouleriana,6
Salix scouleriana,7
Salix scouleriana,3
Salix scouleriana,10
Salix scouleriana,5
Salix sitchensis,7
Salix sitchensis,6
Salix sitchensis,10
Salix sitchensis,3
Salix sitchensis,5
Salix exigua,6
Salix exigua,10
Salix exigua,3
Salix exigua,7
Salix exigua,5
Salix lucida,6
Salix lucida,10
Salix lucida,5
Salix lucida,7
Salix lucida,3
Sambucus racemosa,7
Sambucus racemosa,6
Sambucus racemosa,10
Sambucus racemosa,5
Schoenoplectus acutus,10
Schoenoplectus acutus,7
Schoenoplectus acutus,6
Schoenoplectus acutus,3
Schoenoplectus acutus,5
Schoenoplectus americanus,10
Schoenoplectus americanus,7
Schoenoplectus americanus,6
Scirpus microcarpus,6
Scirpus microcarpus,7
Scirpus microcarpus,3
Scirpus microcarpus,10
Scirpus microcarpus,5
Sedum divergens,6
Sedum divergens,10
Sedum divergens,7
Shepherdia canadensis,2
Shepherdia canadensis,6
Shepherdia canadensis,10
Shepherdia canadensis,5
Shepherdia canadensis,3
Shepherdia canadensis,7
Sium suave,10
Sium suave,5
Sium suave,6
Sium suave,3
Sium suave,7
Solidago canadensis,6
Solidago canadensis,10
Solidago canadensis,7
Solidago canadensis,5
Solidago canadensis,3
Solidago canadensis,2
Sorbus sitchensis,6
Sorbus sitchensis,5
Sorbus sitchensis,10
Sorbus sitchensis,7
Sorbus scopulina,6
Sorbus scopulina,5
Sorbus scopulina,10
Sorbus scopulina,3
Sorbus scopulina,7
Sorbus scopulina,2
Spiraea betulifolia,6
Spiraea betulifolia,10
Spiraea betulifolia,7
Spiraea betulifolia,5
Spiraea betulifolia,3
Spiraea douglasii,6
Spiraea douglasii,7
Spiraea douglasii,10
Spiraea douglasii,3
Streptopus amplexifolius,10
Streptopus amplexifolius,6
Streptopus amplexifolius,7
Streptopus amplexifolius,3
Streptopus amplexifolius,2
Streptopus amplexifolius,5
Symphoricarpos albus,7
Symphoricarpos albus,10
Symphoricarpos albus,6
Symphoricarpos albus,5
Symphoricarpos albus,3
Thalictrum occidentale,6
Thalictrum occidentale,10
Thalictrum occidentale,7
Thalictrum occidentale,3
Thalictrum occidentale,5
Toxicodendron rydbergii,6
Toxicodendron rydbergii,10
Toxicodendron rydbergii,7
Toxicodendron rydbergii,5
Trifolium wormskioldii,10
Trifolium wormskioldii,7
Trifolium wormskioldii,6
Triglochin maritima,10
Triglochin maritima,7
Triglochin maritima,5
Triglochin maritima,6
Triglochin maritima,3
Triglochin maritima,2
Trillium ovatum,7
Trillium ovatum,6
Trillium ovatum,10
Trillium petiolatum,6
Trillium petiolatum,10
Triteleia grandiflora,6
Triteleia grandiflora,7
Triteleia grandiflora,10
Typha latifolia,7
Typha latifolia,3
Typha latifolia,10
Typha latifolia,6
Typha latifolia,5
Vaccinium caespitosum,6
Vaccinium caespitosum,3
Vaccinium caespitosum,5
Vaccinium caespitosum,7
Vaccinium caespitosum,10
Vaccinium membranaceum,6
Vaccinium membranaceum,7
Vaccinium membranaceum,10
Vaccinium membranaceum,5
Vaccinium membranaceum,3
Vaccinium myrtilloides,6
Vaccinium myrtilloides,5
Vaccinium myrtilloides,3
Vaccinium myrtilloides,7
Vaccinium myrtilloides,10
Vaccinium ovalifolium,6
Vaccinium ovalifolium,7
Vaccinium ovalifolium,3
Vaccinium ovalifolium,10
Vaccinium ovalifolium,2
Vaccinium ovatum,7
Vaccinium ovatum,6
Vaccinium oxycoccos,7
Vaccinium oxycoccos,10
Vaccinium oxycoccos,6
Vaccinium oxycoccos,3
Vaccinium oxycoccos,5
Vaccinium oxycoccos,2
Vaccinium parvifolium,6
Vaccinium parvifolium,7
Vaccinium parvifolium,10
Vaccinium parvifolium,3
Vaccinium scoparium,6
