Species_full,Family,N_Names,N_Langs,N_Uses,LDMC (g/g),Nmass (mg/g),Woodiness,Plant height (m),Leaf area (mm2)
Picea glauca,Picea,43,26,166,513.4,10.63662706,woody,25.8348762,23.720000000000002
Picea mariana,Picea,21,13,81,273.93110775733686,8.37922413,woody,19.760111269999996,30.000000000000004
Picea sitchensis,Picea,56,31,136,183.834432519292,11.17514256,woody,55.113262530000014,17.99
Pinus albicaulis,Pinus,31,14,13,192.86548810390659,10.35,woody,16.698853189999998,284.45692366549537
Pinus contorta,Pinus,81,42,103,210.64747093146207,11.31399704,woody,21.372521170000002,49.99999999999999
Pinus monticola,Pinus,43,26,28,170.3872992107027,14.55555556,woody,63.19708608999997,204.57771407863865
Pinus ponderosa,Pinus,24,15,138,0.246394809333333,11.1695215,woody,38.30074010999999,159.99999999999994
Plantago major,Plantago,37,23,93,0.1596663,18.80325799,non-woody,0.16658176399999997,4852.230000000003
Plantago maritima,Plantago,6,4,2,64.21676854594968,15.37,non-woody,0.192142876,749.4199999999997
Platanthera dilatata,Platanthera,8,6,2,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Polystichum munitum,Polystichum,71,29,59,70.45353274466447,21.582895783635163,non-woody,1.06,2082.3900677760053
Populus tremuloides,Populus,55,32,117,365.3545907044,20.80417917,woody,16.70656374,2066.58
Potamogeton natans,Potamogeton,9,7,2,0.206473961,38.11417833,non-woody,0.164993672,2369.5
Prunus emarginata,Prunus,80,35,95,195.3009514767947,21.32230535033979,woody,7.151135165,2467.609999999999
Prunus pensylvanica,Prunus,80,35,52,206.13073572535063,23.47781293,woody,11.10910705,2047.6999999999996
Prunus virginiana,Prunus,46,20,165,183.61096438967795,18.85670178,woody,5.995392840000001,975.0800000000004
Pseudotsuga menziesii,Pseudotsuga,86,43,87,226.5901354512594,11.84097595,woody,65.27951122999997,31.169999999999995
Pteridium aquilinum,Pteridium,90,40,80,298,25.01895541,non-woody,1.611970256,139999.9999999999
Pterospora andromedea,Pterospora,5,5,15,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Purshia tridentata,Purshia,7,3,59,222.37182802394224,22.04273525,woody,1.82,29.000000000000004
Pyrola asarifolia,Pyrola,7,7,7,75.28368647925588,13,non-woody,0.3886041885151371,337.43757826795394
Quercus garryana,Quercus,17,11,26,196.78853862615878,18.309533753556096,woody,20.69145058,980.6337126170562
Ranunculus acris,Ranunculus,10,4,14,186.150573339905,25.73587504,non-woody,0.351530095,595.1899999999999
Ranunculus glaberrimus,Ranunculus,20,9,6,89.86321151159648,20.16022735896182,non-woody,0.15,730.945705969991
Ranunculus occidentalis,Ranunculus,10,4,2,89.72971986383163,20.370150131797313,non-woody,0.33493924410625786,743.8021035676903
Rhodiola rosea,Rhodiola,10,4,12,104.25,3.121289024,non-woody,0.16666666666666702,167.00000000000006
Rhododendron albiflorum,Rhododendron,5,3,12,186.86465436682437,21.02157859705579,woody,1.82,1709.4153319911263
Rhus glabra,Rhus,7,6,108,41.00164505,17.72816213,woody,2.847025404,7137.600000000003
Ribes aureum,Ribes,9,6,22,187.3908071546825,21.800200825663524,woody,1.775443065,1814.0757065603145
Ribes bracteosum,Ribes,52,26,24,154.24304441672103,21.577540975217474,woody,0.8,1783.286272863615
Ribes cereum,Ribes,16,8,21,155.2149286703026,21.712730132142024,woody,0.91,1812.3142783102285
Ribes divaricatum,Ribes,89,41,40,194.13237266559267,22.8,woody,3.2,1198
Ribes glandulosum,Ribes,52,21,6,154.01626869409597,21.482290702434977,woody,0.8,2422.52
Ribes hudsonianum,Ribes,34,19,24,178.78299332030903,21.542945911436917,woody,1.52,1850.970734851661
Ribes inerme,Ribes,89,41,7,186.23445199155285,22.02000891227025,woody,2.43,1848.981977247184
Ribes lacustre,Ribes,75,31,40,155.2149286703026,21.712730132142024,woody,0.91,1812.3142783102285
Ribes laxiflorum,Ribes,52,21,19,154.24304441672103,21.577540975217474,woody,0.8,1783.286272863615
Ribes oxyacanthoides,Ribes,89,41,13,186.23445199155285,22.07792793843706,woody,2.446945612578005,1849.8657328191753
Ribes sanguineum,Ribes,26,11,17,186.85672463342135,25.4,woody,1.827626261,3294.9999999999973
Ribes triste,Ribes,19,9,22,153.57528202442293,21.45300991162863,woody,0.6,1709.4246690113475
Rosa acicularis,Rosa,164,57,67,175.30522373343973,10.64706532,woody,1.21,383.91629326650167
Rosa gymnocarpa,Rosa,28,11,33,151.61428040356617,18.185213889249585,woody,0.91,1190.1413631783994
Rosa nutkana,Rosa,164,57,71,186.09221518895728,18.333796556255237,woody,3.04,1252.1030462022811
Rosa pisocarpa,Rosa,164,57,25,151.61428040356617,18.185213889249585,woody,0.91,1190.1413631783994
Rosa woodsii,Rosa,164,57,60,151.90088511640076,14.91,woody,0.995671983,714.8999999999997
Rubus arcticus,Rubus,17,7,14,68.9142611289257,19.966024777208347,non-woody,0.3,1010.9275114663859
Rubus chamaemorus,Rubus,27,14,33,0.259069653,21.87553983,non-woody,0.10348729799999999,1923.7900000000004
Rubus idaeus,Rubus,77,42,72,192.625601433656,23.31509906,woody,0.939938363,2198.0899999999997
Rubus leucodermis,Rubus,66,30,68,147.1317546632338,19.748964792440244,woody,0.3,1114.37088614903
Rubus parviflorus,Rubus,152,49,103,169.04586512003922,21.9,woody,1.475804865,15256.999999999996
Rubus pubescens,Rubus,12,7,13,173.96164879904694,19.32149063,woody,1.9562032726797698,4175.160000000003
Rubus spectabilis,Rubus,170,41,99,186.31441349666417,21.08248282422923,woody,3.079363449,2363.9605322794837
Rubus ursinus,Rubus,65,27,24,151.2923284448477,20.1,woody,1.2,1793.0000000000002
Rumex aquaticus,Rumex,35,24,25,0.14,35.52,non-woody,1.074755854,21992.289999999997
Sagittaria cuneata,Sagittaria,34,17,13,67.97367142644076,21.21933941804673,non-woody,0.79,1822.1271887164173
Sagittaria latifolia,Sagittaria,34,17,34,106.45447661563233,20.507971120161407,non-woody,1.49,1321.5699999999997
Salix bebbiana,Salix,118,49,22,190.87001080184,21.1,woody,4.36592131,1733.555029738825
Salix discolor,Salix,118,49,27,197.97537698203922,22.35328193349338,woody,6.9828361,1484.5299999999993
Salix exigua,Salix,17,7,57,193.6797007650624,22.71003581839708,woody,5.513619501,1720.9238354389163
Salix hookeriana,Salix,118,49,10,198.46528463164486,22.769006301916928,woody,7.920000000000001,1557.9042014452089
Salix lucida,Salix,39,25,8,200.65323626592397,29.6,woody,10.81287166,1974.0000000000007
Salix scouleriana,Salix,118,49,33,203.23204579346782,22.229760396164668,woody,8.479071928999998,1519.3034579659009
Salix sitchensis,Salix,118,49,28,198.46528463164486,22.707795790944942,woody,7.01,1554.283134597752
Sambucus nigra,Sambucus,38,23,13,161.55174082934101,35.90688506,woody,4.513290405,1060.6000000000001
Sambucus racemosa,Sambucus,97,43,72,176.761666666667,52.356573,woody,2.439435479,1868.0200000000002
Schoenoplectus acutus,Schoenoplectus,59,31,70,125.04975093397239,20.464645643678313,non-woody,2.98,1850.0496791631126
Schoenoplectus americanus,Schoenoplectus,8,6,15,75.60163205346862,13.27906556,non-woody,0.5598170375475675,645.0080648599137
