Synonym,Family,N_Names,N_Langs,N_Uses,Species,Ssp_var,Nmass (mg/g),Woodiness,LDMC (g/g),Diaspore mass (mg),Plant height (m),Leaf area (mm2),species_id
Lomatium canbyi,Apiaceae,8,6,8,Lomatium canbyi,NA,24.346263532140785,non-woody,0.5938255795010509,4.5796,0.24,1437.6323843318257,152
Lomatium cous,Apiaceae,14,10,12,Lomatium cous,NA,22.370422117884925,non-woody,0.5568720058073992,4.52,0.24,1390.4262703023835,153
Lomatium dissectum,Apiaceae,10,7,40,Lomatium dissectum,NA,22.39495414442897,non-woody,6.941184405039432,13.923499999999999,1.4,2308.0772449418873,154
Lomatium geyeri,Apiaceae,3,3,1,Lomatium geyeri,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,155
Lomatium macrocarpum,Apiaceae,10,8,40,Lomatium macrocarpum,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,156
Lomatium nudicaule,Apiaceae,25,18,54,Lomatium nudicaule,NA,28.146890151821776,non-woody,0.4118951049239547,15.6694,0.7575261054355688,1589.5853170172504,157
Lonicera ciliosa,Caprifoliaceae,36,18,25,Lonicera ciliosa,NA,22.385315063130985,woody,159.5605644489153,12.209999999999999,3.4821908806831394,1419.5211818930422,158
Lonicera involucrata,Caprifoliaceae,68,34,72,Lonicera involucrata,NA,23.773747423053113,woody,201.97253704835487,1.517,3.04,3198.170000000001,159
Lupinus nootkatensis,Leguminosae,18,12,2,Lupinus nootkatensis,NA,26.927379505995905,non-woody,0.4952203457196909,21.544400000000003,0.774596669,1660.476959338569,160
Lupinus polyphyllus,Leguminosae,22,14,6,Lupinus polyphyllus,NA,32.93508767,non-woody,0.16967032299999998,22.455600000000004,1.159253422,1460.1700000000005,161
Lycopodium clavatum,Lycopodiaceae,26,17,11,Lycopodium clavatum,NA,8.344249731,non-woody,380.1900000000001,9.409999999999996e-6,0.12602534899999998,2.39,162
Lysichiton americanus,Araceae,78,44,111,Lysichiton americanus,NA,23.885022585203963,non-woody,0.459194050423699,54.536799999999985,1.1,3289.0765952344614,163
Mahonia aquifolium,Berberidaceae,68,29,58,Mahonia aquifolium,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,164
Mahonia nervosa,Berberidaceae,68,29,33,Mahonia nervosa,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,165
