Synonym,Family,N_Names,N_Langs,N_Uses,Species,Ssp_var,Nmass (mg/g),Woodiness,LDMC (g/g),Diaspore mass (mg),Plant height (m),Leaf area (mm2),species_id
Hierochloe odorata,Poaceae,14,8,92,Hierochloe odorata,NA,19.643933979083453,non-woody,0.19,1.1152,0.350568382,33,129
Holodiscus discolor,Rosaceae,36,26,65,Holodiscus discolor,NA,18.03820416,woody,176.13693584429979,0.11340000000000001,2.928841355,661.4199999999998,130
Hordeum jubatum,Poaceae,17,11,6,Hordeum jubatum,NA,22.54,non-woody,0.24441,1.6304,0.411953429,181.00000000000006,131
Juncus effusus,Juncaceae,9,6,20,Juncus effusus,NA,13.57264734,non-woody,270.228,0.016600000000000007,0.761216973,1402.0000000000002,132
Juniperus communis,Cupressaceae,66,34,112,Juniperus communis,NA,11.44467354,woody,407.42251571599985,11.7085,3.0414365519999995,20.680000000000003,133
Juniperus scopulorum,Cupressaceae,20,18,131,Juniperus scopulorum,NA,13.04468907,woody,238.7644555111646,15.7658,11.458257300000001,1136.0133187169276,134
Kalmia microphylla,Ericaceae,13,8,6,Kalmia microphylla,NA,17.722137350508767,woody,178.0322760835967,0.010000000000000004,0.3,1839.1838343326438,135
Lappula occidentalis,Boraginaceae,7,5,1,Lappula occidentalis,NA,19.87835714639133,woody,172.46234923542215,15.751812732076726,4.4352554629547765,2336.9454009916294,136
Larix laricina,Pinaceae,11,6,55,Larix laricina,NA,15.28582255,woody,231.13789339987215,1.5223,23.399327270000004,33,137
Larix occidentalis,Pinaceae,15,10,45,Larix occidentalis,NA,16.38228862,woody,235.18446519941827,3.2728999999999995,50.83738162,25.199999999999996,138
Lathyrus japonicus,Leguminosae,22,15,5,Lathyrus japonicus,NA,28.406165679639823,non-woody,41.37904704324993,31.9982,0.42837748,2995.944509885106,139
Lathyrus nevadensis,Leguminosae,22,15,1,Lathyrus nevadensis,NA,28.057776357103506,non-woody,76.90071024426028,16.700000000000003,1.3810194578081032,4750.578038300246,140
Lathyrus ochroleucus,Leguminosae,22,15,5,Lathyrus ochroleucus,NA,32.9,non-woody,43.628642318600626,16.640000000000004,0.9,3897.668286587643,141
Lewisia rediviva,Montiaceae,21,13,50,Lewisia rediviva,NA,20.620974438337445,non-woody,38.77788501055997,2.611,0.632654447690145,1956.5131533793808,142
Leymus cinereus,Poaceae,15,10,18,Leymus cinereus,NA,20.9212853511131,non-woody,84.80592373267218,3.0444,1.52,3541.9774366198258,143
Leymus mollis,Poaceae,17,11,18,Leymus mollis,NA,20.882396978254796,non-woody,54.532388944096546,8.934395913710418,1.21,2895.4341215365785,144
